Phase_Ratio,AbsRatio_1_7_div_1_5_eV,AbsRatio_2_div_1_4_eV,Referenced_RefAndEXG_UVVis_Corrected_Transmission_Intensity_Differentiated_At_1_608
1.6363213062286377,3.98148954886067,6.570754552518067,-3.7388687133789062
2.99533748626709,3.9761791992313715,6.65971254062517,-3.698801279067993
3.884913682937622,4.058534288278919,6.7996025264219915,-3.696420431137085
4.11185884475708,4.041608935967159,6.880580482024213,-3.6632158756256104
3.4737417697906494,3.9384842674110203,6.774349899174397,-3.5449471473693848
2.3858256340026855,3.814802475651642,6.57033622132268,-3.415034770965576
1.5223891735076904,3.381511694190728,5.913470892142735,-2.907071113586426
4.1552252769470215,3.950343489445933,6.4776283073947125,-3.8721859455108643
4.632940769195557,4.033609638466244,6.557239410483366,-3.8565027713775635
5.550956726074219,4.062975915267732,6.680820700206144,-3.8243064880371094
6.987360000610352,4.1419880109132885,6.782676605805802,-3.822525978088379
9.249778747558594,4.167472496700259,6.928685515978508,-3.7934861183166504
6.514054298400879,4.069627652244503,6.830225887778215,-3.68030047416687
4.581261157989502,4.051718350403874,6.816773667347327,-3.6508147716522217
3.7835440635681152,4.01603536505493,6.777469036177407,-3.618647336959839
2.604917287826538,3.7269847053740612,6.3962204975724255,-3.3208060264587402
8.793747901916504,3.9891075096193043,6.619294598325859,-4.036252975463867
9.05237102508545,4.145430216478443,6.727829170232567,-4.1036505699157715
10.925098419189453,4.2064948728790235,6.8572971204946285,-4.080254554748535
13.978680610656738,4.299690968678791,6.894754358455628,-4.110416889190674
17.03144645690918,4.312704065514092,6.958370630517705,-4.061621189117432
13.216011047363281,4.359247374736481,7.088726181711974,-4.033428192138672
8.01546573638916,4.22041190493101,6.893749176416672,-3.9012203216552734
6.3914923667907715,4.1542765591427235,6.769034188986695,-3.837883710861206
3.948781967163086,3.9935713807313697,6.594165518278699,-3.7249600887298584
11.421464920043945,3.850568389124025,6.583709515060637,-4.04094934463501
13.626368522644043,4.109436073585816,6.848342731286627,-4.262986660003662
18.037229537963867,3.993275911365047,6.599676965032101,-4.078501224517822
16.170576095581055,4.3079469582156635,6.989437772358755,-4.298974514007568
19.209379196166992,4.2917453460412665,6.910830452838837,-4.177870273590088
4.579837799072266,3.869337044510749,6.347156133357895,-3.7376456260681152
3.018885374069214,3.864088199468781,6.351997781065876,-3.708268165588379
3.760770559310913,3.992863820231253,6.504857610480455,-3.8435239791870117
3.3662705421447754,3.612213131086278,5.932463526699358,-3.4831442832946777
5.1570281982421875,3.784414270624934,6.715807810701433,-3.9989731311798096
8.566389083862305,3.8677434998527596,6.765761954325663,-4.072750091552734
10.909725189208984,3.9877364158755992,6.837946269496824,-4.180156707763672
17.771045684814453,4.206089942592528,7.168049881711357,-4.399165153503418
21.409818649291992,4.091304354506386,6.924016415418745,-4.282093524932861
7.291476726531982,3.701145789083607,6.111742906500166,-3.8196771144866943
2.8902645111083984,3.7054037544633585,6.1749705953491585,-3.744661331176758
1.6383551359176636,3.819835391665819,7.120601212005129,-3.531188726425171
2.627873659133911,3.715725438801144,7.1306143310106815,-3.327465295791626
3.251112222671509,3.737688932044964,7.273902750474723,-3.2650532722473145
3.3971941471099854,3.8144257748156036,7.530355726003369,-3.3233559131622314
2.7339415550231934,3.723492109053387,7.38264062284603,-3.20365571975708
1.7853434085845947,3.55433796051186,7.265794788592042,-2.977760076522827
1.0939384698867798,3.1103803800286953,6.626919821094459,-2.3187336921691895
3.0588767528533936,3.6190433991074227,6.788731877604183,-3.44045352935791
3.078249931335449,3.635875852534234,6.866632058700844,-3.406850576400757
3.304534673690796,3.7375338366278648,7.052524081833443,-3.445780038833618
4.007392883300781,3.852087675688266,7.387246585310555,-3.5232670307159424
4.882628440856934,3.7797710898664616,7.375689160110221,-3.40494966506958
3.446343421936035,3.7552232924787905,7.28577949622657,-3.2936549186706543
2.6114985942840576,3.7286583226567953,7.3016458579106045,-3.26274037361145
2.36104679107666,3.711973006120968,7.246000428008114,-3.2327888011932373
1.817012906074524,3.3900162427175906,6.8128109524205325,-2.8015427589416504
6.601847171783447,3.6307288750535056,6.833933631973989,-3.578477382659912
4.973283767700195,3.739837513446187,7.127923930317122,-3.661600112915039
5.289443492889404,3.821885623961126,7.216898139146718,-3.6730706691741943
6.554266452789307,4.038088291981204,7.603464517716347,-3.828339099884033
7.611353397369385,4.019140106908666,7.62358505842006,-3.790529251098633
5.358288288116455,3.9515452963836806,7.561844689225998,-3.6799278259277344
4.3650383949279785,3.8836415588700217,7.280237321680115,-3.552135467529297
4.093231201171875,3.920282566295866,7.322166486151124,-3.5862202644348145
3.0076799392700195,3.613726566116724,6.766700625956855,-3.239490509033203
10.54474925994873,3.601813369929312,6.736252560152694,-3.6708221435546875
8.612386703491211,3.754677917934778,7.153435254100281,-3.80289888381958
8.180789947509766,3.7110798193336754,7.094426853132142,-3.6870880126953125
7.212447643280029,3.8738332750122266,7.215980623046857,-3.837449550628662
6.664637565612793,3.8616187823272963,7.21546477400551,-3.761204481124878
2.528550148010254,3.463097352704296,6.3104617923702495,-3.2430038452148438
2.053330898284912,3.6649757051643768,6.668768424986806,-3.4559600353240967
2.4484140872955322,3.6363034514643204,6.612725318685665,-3.435213804244995
2.185230016708374,3.4418899816826927,6.235890642614039,-3.213387966156006
4.936085224151611,3.243662005526809,5.543724046522035,-3.3837192058563232
5.212903022766113,3.394424851992243,5.884760881999091,-3.540874719619751
6.426792144775391,3.4446065260484264,5.919030363725977,-3.5808141231536865
10.644132614135742,3.658699703896534,6.376700866825977,-3.7973837852478027
12.44399642944336,3.5775668110159256,6.169226684003058,-3.70570707321167
4.155720233917236,3.403693020321057,5.61573334470664,-3.5034523010253906
1.713388442993164,3.1677528304545124,5.120175399266479,-3.1627798080444336
